subject_id,year_in_study,record_date,activity_level,activity,activity_other,frequency,pace,grade,surface_asphalt,surface_concrete,surface_dirt,surface_grass,surface_rocky,surface_sand,surface_varied,surface_other,surface_other_specify,total_time,total_time_units
grls02RRJK88,5,2018-08,Moderate,Fetch outside - ground retrieval,,Daily,Average walk,Flat,1,0,0,0,0,0,0,0,,6.0,Year
grls02RRJK88,6,2019-08,Moderate,Fetch outside - ground retrieval,,Weekly,Brisk walk,Flat,0,0,0,1,0,0,0,0,,3.0,Year
grls02RRJK88,8,2021-09,Moderate,Fetch outside - ground retrieval,,Monthly,Brisk walk,Flat,0,0,0,1,0,0,0,0,,7,Year
grls02VDCV99,3,2016-01,Moderate,"On leash (obedience training, walking or running)",,Weekly,Run,Moderate,1,1,0,0,0,0,0,0,,4.0,Year
grls02VDCV99,3,2016-01,Moderate,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Flat,0,1,0,0,0,0,0,0,,4.0,Year
grls02VDCV99,3,2016-01,Moderate,Fetch outside - air retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls02VDCV99,3,2016-01,Moderate,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls02VDCV99,4,2017-01,Moderate,"On leash (obedience training, walking or running)",,Weekly,Run,Moderate,1,1,0,0,0,0,0,0,,5.0,Year
grls02VDCV99,4,2017-01,Moderate,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Flat,0,1,0,0,0,0,0,0,,5.0,Year
grls02VDCV99,4,2017-01,Moderate,Fetch outside - air retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,5.0,Year
grls02VDCV99,4,2017-01,Moderate,Fetch outside - ground retrieval,,More than daily,Run,Flat,0,0,0,1,0,0,0,0,,5.0,Year
grls02VDCV99,5,2018-01,Moderate,"On leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,1,1,0,0,0,0,0,0,,6.0,Year
grls02VDCV99,5,2018-01,Moderate,Fetch outside - air retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,6.0,Year
grls02VDCV99,5,2018-01,Moderate,Fetch outside - ground retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,6.0,Year
grls02VDCV99,6,2019-01,Moderate,"On leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,1,1,0,0,0,0,0,0,,7.0,Year
grls02VDCV99,6,2019-01,Moderate,Fetch outside - air retrieval,,Weekly,Run,Flat,0,0,0,1,0,0,0,0,,7.0,Year
grls02VDCV99,6,2019-01,Moderate,Fetch outside - ground retrieval,,Weekly,Run,Flat,0,0,0,1,0,0,0,0,,7.0,Year
grls02VDCV99,7,2020-01,Moderate,"On leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,1,1,0,1,0,0,1,0,,8.0,Year
grls02VDCV99,7,2020-01,Moderate,Fetch outside - air retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,8.0,Year
grls02VDCV99,7,2020-01,Moderate,Fetch outside - ground retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,8.0,Year
grls02VDCV99,7,2020-01,Moderate,Active indoor play,,Daily,Jog,Flat,0,0,0,0,0,0,0,1,carpet,9.0,Year
grls02VDCV99,8,2021-01,Moderate,Active indoor play,,Daily,Brisk walk,Flat,0,0,0,0,0,0,0,1,carpet,9,Year
grls02VDCV99,8,2021-01,Moderate,Fetch outside - ground retrieval,,Monthly,Run,Flat,0,0,0,1,0,0,0,0,,9,Year
grls02VDCV99,8,2021-01,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,1,0,1,0,0,0,0,,9,Year
grls03MTKHLL,3,2017-03,Very active,"Off leash (obedience training, walking or running)",,More than daily,Brisk walk,Flat,1,0,1,1,0,0,0,0,,3.0,Year
grls03MTKHLL,4,2018-04,Moderate,Active indoor play,,More than daily,Average walk,Flat,1,0,1,1,0,0,1,0,,4.0,Year
grls03MTKHLL,5,2019-03,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,5.0,Year
grls03MTKHLL,6,2020-03,Moderate,"Off leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,0,0,0,0,0,1,0,,6.0,Year
grls03MTKHLL,7,2021-04,Moderate,Fetch outside - ground retrieval,,Daily,Run,Flat,0,0,0,1,0,0,0,0,,6,Year
grls03MTKHLL,7,2021-04,Moderate,Other,unspecified on or off leash (obedience/training/walking or running),More than daily,Brisk walk,Flat,1,0,1,1,0,1,1,0,,7,Year
grls03UREW44,4,2018-05,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,1,0,0,0,0,0,0,,5.0,Year
grls03UREW44,5,2019-06,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Moderate,0,1,0,0,0,0,0,0,,6.0,Year
grls03UREW44,7,2021-06,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Moderate,0,1,0,1,0,0,0,0,,8,Year
grls03UREW44,7,2021-06,Moderate,Active indoor play,,Daily,Average walk,Flat,0,0,0,0,0,0,0,1,hardwoods/carpet,8,Year
grls03UREW44,8,2022-06,Moderate,"On leash (obedience training, walking or running)",,More than daily,Slow walk,Flat,0,1,0,1,0,1,0,0,,9,Year
grls03UREW44,8,2022-06,Moderate,Fetch outside - ground retrieval,,Rarely,Run,Flat,0,0,0,1,0,0,0,0,,2,Year
grls04DN2S55,3,2017-12,Moderate,Active indoor play,,More than daily,Average walk,Flat,0,0,0,0,0,0,1,0,,4.0,Year
grls04DN2S55,3,2017-12,Moderate,"Off leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,0,0,0,0,0,1,0,,4.0,Year
grls04DN2S55,3,2017-12,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,0,0,0,0,0,1,0,,4.0,Year
grls04DN2S55,4,2018-12,Little,"Off leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,1,0,1,0,0,0,0,,5.0,Year
grls04DN2S55,7,2021-11,Moderate,"Off leash (obedience training, walking or running)",,More than daily,Average walk,Flat,1,1,1,1,1,1,1,0,,8,Year
grls04DN2S55,8,2022-12,Very active,"Off leash (obedience training, walking or running)",,More than daily,Jog,Flat,0,0,1,1,1,1,1,0,,3,Year
grls04KX35EE,3,2015-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Slow walk,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls04KX35EE,4,2016-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,1,0,0,0,0,0,0,0,,5.0,Year
grls04KX35EE,5,2017-12,Moderate,"On leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,0,0,1,0,0,0,0,,6.0,Year
grls04KX35EE,6,2018-12,Moderate,"On leash (obedience training, walking or running)",,Daily,Slow walk,Flat,1,0,0,1,0,0,0,0,,6.0,Year
